total,g,day,month,date,year,type,location,opponent,rank,conference,wl,team_score,opp_score,ot,mov,last,streak,arena,state,abbr
257,20,Sunday,January,27,2013,REG,1,Iowa,,Big Ten,1,65,62,1,3,W,1,Mackey Arena,Indiana,IN
256,19,Thursday,January,24,2013,REG,2,Michigan,2,Big Ten,0,53,68,0,-15,L,1,Crisler Arena,Michigan,MI
255,18,Saturday,January,19,2013,REG,1,West Virginia,,Big 12,1,79,52,0,27,W,3,Mackey Arena,Indiana,IN
254,17,Wednesday,January,16,2013,REG,2,Nebraska,,Big Ten,1,65,56,0,9,W,2,Bob Devaney Sports Center,Nebraska,NE
253,16,Sunday,January,13,2013,REG,1,Penn State,,Big Ten,1,60,42,0,18,W,1,Mackey Arena,Indiana,IN
252,15,Tuesday,January,8,2013,REG,1,Ohio State,15,Big Ten,0,64,74,0,-10,L,2,Mackey Arena,Indiana,IN
251,14,Saturday,January,5,2013,REG,2,Michigan State,18,Big Ten,0,61,84,0,-23,L,1,Breslin Student Events Center,Michigan,MI
250,13,Wednesday,January,2,2013,REG,1,Illinois,11,Big Ten,1,68,61,0,7,W,3,Mackey Arena,Indiana,IN
249,12,Saturday,December,29,2012,REG,1,William & Mary,,CAA,1,73,66,0,7,W,2,Mackey Arena,Indiana,IN
248,11,Tuesday,December,18,2012,REG,1,Ball State,,MAC,1,66,56,0,10,W,1,Mackey Arena,Indiana,IN
247,10,Saturday,December,15,2012,REG,3,Notre Dame,22,Big East,0,68,81,0,-13,L,2,Purcell Pavilion at the Joyce Center,Indiana,IN
246,9,Saturday,December,8,2012,REG,2,Eastern Michigan,,MAC,0,44,47,0,-3,L,1,Convocation Center,Michigan,MI
245,8,Tuesday,December,4,2012,REG,1,Lamar,,Southland,1,72,39,0,33,W,1,Mackey Arena,Indiana,IN
244,7,Saturday,December,1,2012,REG,1,Xavier,,A-10,0,57,63,0,-6,L,1,Mackey Arena,Indiana,IN
243,6,Wednesday,November,28,2012,REG,2,Clemson,,ACC,1,73,61,0,12,W,2,Littlejohn Coliseum,South Carolina,SC
242,5,Wednesday,November,21,2012,REG,1,UNC Wilmington,,CAA,1,66,40,0,26,W,1,Mackey Arena,Indiana,IN
241,4,Friday,November,16,2012,REG,3,Oregon State,,Pac-12,0,58,66,0,-8,L,2,Madison Square Garden (IV),New York,NY
240,3,Thursday,November,15,2012,REG,3,Villanova,,Big East,0,81,89,1,-8,L,1,Madison Square Garden (IV),New York,NY
239,2,Sunday,November,11,2012,REG,1,Hofstra,,CAA,1,83,54,0,29,W,1,Mackey Arena,Indiana,IN
238,1,Friday,November,9,2012,REG,1,Bucknell,,Patriot,0,65,70,0,-5,L,1,Mackey Arena,Indiana,IN
237,35,Sunday,March,18,2012,NCAA,3,Kansas,6,Big 12,0,60,63,0,-3,L,1,CenturyLink Center Omaha,Nebraska,NE
236,34,Friday,March,16,2012,NCAA,3,Saint Mary's (CA),24,WCC,1,72,69,0,3,W,1,CenturyLink Center Omaha,Nebraska,NE
235,33,Friday,March,9,2012,CTOURN,3,Ohio State,7,Big Ten,0,71,88,0,-17,L,1,Gainbridge Fieldhouse,Indiana,IN
234,32,Thursday,March,8,2012,CTOURN,3,Nebraska,,Big Ten,1,79,61,0,18,W,1,Gainbridge Fieldhouse,Indiana,IN
233,31,Sunday,March,4,2012,REG,2,Indiana,18,Big Ten,0,74,85,0,-11,L,1,Assembly Hall,Indiana,IN
232,30,Wednesday,February,29,2012,REG,1,Penn State,,Big Ten,1,80,56,0,24,W,3,Mackey Arena,Indiana,IN
231,29,Saturday,February,25,2012,REG,2,Michigan,11,Big Ten,1,75,61,0,14,W,2,Crisler Arena,Michigan,MI
230,28,Wednesday,February,22,2012,REG,1,Nebraska,,Big Ten,1,83,65,0,18,W,1,Mackey Arena,Indiana,IN
229,27,Sunday,February,19,2012,REG,1,Michigan State,7,Big Ten,0,62,76,0,-14,L,1,Mackey Arena,Indiana,IN
228,26,Wednesday,February,15,2012,REG,2,Illinois,,Big Ten,1,67,62,0,5,W,2,State Farm Center,Illinois,IL
227,25,Sunday,February,12,2012,REG,1,Northwestern,,Big Ten,1,87,77,0,10,W,1,Mackey Arena,Indiana,IN
226,24,Tuesday,February,7,2012,REG,2,Ohio State,3,Big Ten,0,84,87,0,-3,L,2,Value City Arena,Ohio,OH
225,23,Saturday,February,4,2012,REG,1,Indiana,20,Big Ten,0,61,78,0,-17,L,1,Mackey Arena,Indiana,IN
224,22,Saturday,January,28,2012,REG,2,Northwestern,,Big Ten,1,58,56,0,2,W,1,Welsh-Ryan Arena,Illinois,IL
223,21,Tuesday,January,24,2012,REG,1,Michigan,20,Big Ten,0,64,66,0,-2,L,2,Mackey Arena,Indiana,IN
222,20,Saturday,January,21,2012,REG,2,Michigan State,9,Big Ten,0,58,83,0,-25,L,1,Breslin Student Events Center,Michigan,MI
221,19,Tuesday,January,17,2012,REG,1,Iowa,,Big Ten,1,75,68,0,7,W,1,Mackey Arena,Indiana,IN
220,18,Thursday,January,12,2012,REG,1,Wisconsin,,Big Ten,0,62,67,0,-5,L,1,Mackey Arena,Indiana,IN
219,17,Sunday,January,8,2012,REG,2,Minnesota,,Big Ten,1,79,66,0,13,W,1,Williams Arena,Minnesota,MN
218,16,Thursday,January,5,2012,REG,2,Penn State,,Big Ten,0,45,65,0,-20,L,1,Bryce Jordan Center,Pennsylvania,PA
217,15,Saturday,December,31,2011,REG,1,Illinois,,Big Ten,1,75,60,0,15,W,3,Mackey Arena,Indiana,IN
216,14,Wednesday,December,28,2011,REG,2,Iowa,,Big Ten,1,79,76,0,3,W,2,Carver-Hawkeye Arena,Iowa,IA
215,13,Tuesday,December,20,2011,REG,1,Purdue-Fort Wayne,,Summit,1,81,56,0,25,W,1,Mackey Arena,Indiana,IN
214,12,Saturday,December,17,2011,REG,3,Butler,,Horizon,0,65,67,0,-2,L,1,Gainbridge Fieldhouse,Indiana,IN
213,11,Saturday,December,10,2011,REG,1,Eastern Michigan,,MAC,1,61,36,0,25,W,2,Mackey Arena,Indiana,IN
212,10,Wednesday,December,7,2011,REG,1,Western Carolina,,Southern,1,65,60,0,5,W,1,Mackey Arena,Indiana,IN
211,9,Saturday,December,3,2011,REG,2,Xavier,11,A-10,0,63,66,0,-3,L,1,Cintas Center,Ohio,OH
210,8,Tuesday,November,29,2011,REG,1,Miami (FL),,ACC,1,76,65,0,11,W,3,Mackey Arena,Indiana,IN
209,7,Saturday,November,26,2011,REG,1,Coppin State,,MEAC,1,78,57,0,21,W,2,Mackey Arena,Indiana,IN
208,6,Wednesday,November,23,2011,REG,1,Western Michigan,,MAC,1,80,37,0,43,W,1,Mackey Arena,Indiana,IN
207,5,Sunday,November,20,2011,REG,3,Alabama,16,SEC,0,56,65,0,-9,L,1,Jose Miguel Agrelot Coliseum,Puerto Rico,PR
206,4,Friday,November,18,2011,REG,3,Temple,,A-10,1,85,77,0,8,W,4,Jose Miguel Agrelot Coliseum,Puerto Rico,PR
205,3,Thursday,November,17,2011,REG,3,Iona,,MAAC,1,91,90,0,1,W,3,Jose Miguel Agrelot Coliseum,Puerto Rico,PR
204,2,Monday,November,14,2011,REG,1,High Point,,Big South,1,67,65,0,2,W,2,Mackey Arena,Indiana,IN
203,1,Friday,November,11,2011,REG,1,Northern Illinois,,MAC,1,96,34,0,62,W,1,Mackey Arena,Indiana,IN
202,34,Sunday,March,20,2011,NCAA,3,Virginia Commonwealth,,CAA,0,76,94,0,-18,L,1,United Center,Illinois,IL
201,33,Friday,March,18,2011,NCAA,3,Saint Peter's,,MAAC,1,65,43,0,22,W,1,United Center,Illinois,IL
200,32,Friday,March,11,2011,CTOURN,3,Michigan State,,Big Ten,0,56,74,0,-18,L,2,Gainbridge Fieldhouse,Indiana,IN
199,31,Saturday,March,5,2011,REG,2,Iowa,,Big Ten,0,65,67,0,-2,L,1,Carver-Hawkeye Arena,Iowa,IA
198,30,Tuesday,March,1,2011,REG,1,Illinois,,Big Ten,1,75,67,0,8,W,7,Mackey Arena,Indiana,IN
197,29,Sunday,February,27,2011,REG,2,Michigan State,,Big Ten,1,67,47,0,20,W,6,Breslin Student Events Center,Michigan,MI
196,28,Wednesday,February,23,2011,REG,2,Indiana,,Big Ten,1,72,61,0,11,W,5,Assembly Hall,Indiana,IN
195,27,Sunday,February,20,2011,REG,1,Ohio State,2,Big Ten,1,76,63,0,13,W,4,Mackey Arena,Indiana,IN
194,26,Wednesday,February,16,2011,REG,1,Wisconsin,10,Big Ten,1,70,62,0,8,W,3,Mackey Arena,Indiana,IN
193,25,Sunday,February,13,2011,REG,2,Illinois,,Big Ten,1,81,70,0,11,W,2,State Farm Center,Illinois,IL
192,24,Tuesday,February,8,2011,REG,1,Indiana,,Big Ten,1,67,53,0,14,W,1,Mackey Arena,Indiana,IN
191,23,Tuesday,February,1,2011,REG,2,Wisconsin,19,Big Ten,0,59,66,0,-7,L,1,Kohl Center,Wisconsin,WI
190,22,Saturday,January,29,2011,REG,1,Minnesota,16,Big Ten,1,73,61,0,12,W,1,Mackey Arena,Indiana,IN
189,21,Tuesday,January,25,2011,REG,2,Ohio State,1,Big Ten,0,64,87,0,-23,L,1,Value City Arena,Ohio,OH
188,20,Saturday,January,22,2011,REG,1,Michigan State,17,Big Ten,1,86,76,0,10,W,2,Mackey Arena,Indiana,IN
