total,g,day,month,date,year,type,location,opponent,rank,conference,wl,team_score,opp_score,ot,mov,last,streak,arena,state,abbr
100,4,Saturday,November,22,2008,REG,1,Coppin State,,MEAC,1,66,46,0,20,W,4,Mackey Arena,Indiana,IN
99,3,Tuesday,November,18,2008,REG,1,Loyola (IL),,Horizon,1,78,46,0,32,W,3,Mackey Arena,Indiana,IN
98,2,Monday,November,17,2008,REG,1,Eastern Michigan,,MAC,1,87,58,0,29,W,2,Mackey Arena,Indiana,IN
97,1,Friday,November,14,2008,REG,1,Detroit Mercy,,Horizon,1,82,50,0,32,W,1,Mackey Arena,Indiana,IN
96,34,Saturday,March,22,2008,NCAA,3,Xavier,12,A-10,0,78,85,0,-7,L,1,Verizon Center,Washington DC,DC
95,33,Thursday,March,20,2008,NCAA,3,Baylor,,Big 12,1,90,79,0,11,W,1,Verizon Center,Washington DC,DC
94,32,Friday,March,14,2008,CTOURN,3,Illinois,,Big Ten,0,67,74,1,-7,L,1,Gainbridge Fieldhouse,Indiana,IN
93,31,Sunday,March,9,2008,REG,2,Michigan,,Big Ten,1,72,58,0,14,W,1,Crisler Arena,Michigan,MI
92,30,Tuesday,March,4,2008,REG,2,Ohio State,,Big Ten,0,77,80,1,-3,L,1,Value City Arena,Ohio,OH
91,29,Saturday,March,1,2008,REG,1,Northwestern,,Big Ten,1,68,43,0,25,W,2,Mackey Arena,Indiana,IN
90,28,Wednesday,February,27,2008,REG,1,Minnesota,,Big Ten,1,65,53,0,12,W,1,Mackey Arena,Indiana,IN
89,27,Tuesday,February,19,2008,REG,2,Indiana,15,Big Ten,0,68,77,0,-9,L,1,Assembly Hall,Indiana,IN
88,26,Saturday,February,16,2008,REG,2,Northwestern,,Big Ten,1,71,56,0,15,W,11,Welsh-Ryan Arena,Illinois,IL
87,25,Tuesday,February,12,2008,REG,1,Michigan State,10,Big Ten,1,60,54,0,6,W,10,Mackey Arena,Indiana,IN
86,24,Saturday,February,9,2008,REG,2,Wisconsin,8,Big Ten,1,72,67,0,5,W,9,Kohl Center,Wisconsin,WI
85,23,Tuesday,February,5,2008,REG,1,Penn State,,Big Ten,1,67,53,0,14,W,8,Mackey Arena,Indiana,IN
84,22,Saturday,February,2,2008,REG,2,Illinois,,Big Ten,1,83,75,0,8,W,7,State Farm Center,Illinois,IL
83,21,Wednesday,January,30,2008,REG,1,Iowa,,Big Ten,1,51,50,0,1,W,6,Mackey Arena,Indiana,IN
82,20,Saturday,January,26,2008,REG,1,Wisconsin,11,Big Ten,1,60,56,0,4,W,5,Mackey Arena,Indiana,IN
81,19,Wednesday,January,23,2008,REG,2,Penn State,,Big Ten,1,64,42,0,22,W,4,Bryce Jordan Center,Pennsylvania,PA
80,18,Saturday,January,19,2008,REG,1,Illinois,,Big Ten,1,74,67,0,7,W,3,Mackey Arena,Indiana,IN
79,17,Wednesday,January,16,2008,REG,2,Iowa,,Big Ten,1,67,62,0,5,W,2,Carver-Hawkeye Arena,Iowa,IA
78,16,Saturday,January,12,2008,REG,1,Ohio State,,Big Ten,1,75,68,0,7,W,1,Mackey Arena,Indiana,IN
77,15,Tuesday,January,8,2008,REG,2,Michigan State,6,Big Ten,0,75,78,0,-3,L,1,Breslin Student Events Center,Michigan,MI
76,14,Saturday,January,5,2008,REG,1,Michigan,,Big Ten,1,65,58,0,7,W,3,Mackey Arena,Indiana,IN
75,13,Saturday,December,29,2007,REG,1,Florida International,,Sun Belt,1,59,44,0,15,W,2,Mackey Arena,Indiana,IN
74,12,Sunday,December,23,2007,REG,3,Missouri State,,MVC,1,72,70,0,2,W,1,Orleans Arena,Nevada,NV
73,11,Saturday,December,22,2007,REG,3,Iowa State,,Big 12,0,80,83,0,-3,L,2,Orleans Arena,Nevada,NV
72,10,Wednesday,December,19,2007,REG,1,Wofford,,Southern,0,66,69,0,-3,L,1,Mackey Arena,Indiana,IN
71,9,Monday,December,17,2007,REG,1,Texas Southern,,SWAC,1,76,56,0,20,W,2,Mackey Arena,Indiana,IN
70,8,Saturday,December,15,2007,REG,3,Louisville,22,Big East,1,67,59,0,8,W,1,Gainbridge Fieldhouse,Indiana,IN
69,7,Saturday,December,8,2007,REG,2,Missouri,,Big 12,0,63,73,0,-10,L,1,Mizzou Arena,Missouri,MO
68,6,Wednesday,December,5,2007,REG,1,Ball State,,MAC,1,70,57,0,13,W,2,Mackey Arena,Indiana,IN
67,5,Saturday,December,1,2007,REG,1,Indiana State,,MVC,1,71,60,0,11,W,1,Mackey Arena,Indiana,IN
66,4,Tuesday,November,27,2007,REG,2,Clemson,18,ACC,0,58,61,0,-3,L,1,Littlejohn Coliseum,South Carolina,SC
65,3,Saturday,November,24,2007,REG,1,Loyola (IL),,Horizon,1,84,53,0,31,W,3,Mackey Arena,Indiana,IN
64,2,Tuesday,November,20,2007,REG,1,Lipscomb,,A-Sun,1,66,62,0,4,W,2,Mackey Arena,Indiana,IN
63,1,Thursday,November,15,2007,REG,1,Bethune-Cookman,,MEAC,1,66,40,0,26,W,1,Mackey Arena,Indiana,IN
62,34,Sunday,March,18,2007,NCAA,3,Florida,3,SEC,0,67,74,0,-7,L,1,New Orleans Arena,Louisiana,LA
61,33,Friday,March,16,2007,NCAA,3,Arizona,,Pac-12,1,72,63,0,9,W,1,New Orleans Arena,Louisiana,LA
60,32,Saturday,March,10,2007,CTOURN,3,Ohio State,1,Big Ten,0,52,63,0,-11,L,1,United Center,Illinois,IL
59,31,Friday,March,9,2007,CTOURN,3,Iowa,,Big Ten,1,74,55,0,19,W,4,United Center,Illinois,IL
58,30,Saturday,March,3,2007,REG,1,Northwestern,,Big Ten,1,73,50,0,23,W,3,Mackey Arena,Indiana,IN
57,29,Wednesday,February,28,2007,REG,1,Minnesota,,Big Ten,1,66,47,0,19,W,2,Mackey Arena,Indiana,IN
56,28,Saturday,February,24,2007,REG,2,Northwestern,,Big Ten,1,75,68,0,7,W,1,Welsh-Ryan Arena,Illinois,IL
55,27,Wednesday,February,21,2007,REG,2,Iowa,,Big Ten,0,59,78,0,-19,L,1,Carver-Hawkeye Arena,Iowa,IA
54,26,Thursday,February,15,2007,REG,1,Indiana,24,Big Ten,1,81,68,0,13,W,1,Mackey Arena,Indiana,IN
53,25,Saturday,February,10,2007,REG,2,Ohio State,3,Big Ten,0,56,63,0,-7,L,1,Value City Arena,Ohio,OH
52,24,Wednesday,February,7,2007,REG,1,Michigan State,,Big Ten,1,62,38,0,24,W,2,Mackey Arena,Indiana,IN
51,23,Saturday,February,3,2007,REG,2,Penn State,,Big Ten,1,69,59,0,10,W,1,Bryce Jordan Center,Pennsylvania,PA
50,22,Wednesday,January,31,2007,REG,1,Ohio State,4,Big Ten,0,60,78,0,-18,L,1,Mackey Arena,Indiana,IN
49,21,Saturday,January,27,2007,REG,1,Illinois,,Big Ten,1,64,47,0,17,W,1,Mackey Arena,Indiana,IN
48,20,Saturday,January,20,2007,REG,2,Michigan,,Big Ten,0,55,71,0,-16,L,2,Crisler Arena,Michigan,MI
47,19,Wednesday,January,17,2007,REG,2,Wisconsin,2,Big Ten,0,64,69,0,-5,L,1,Kohl Center,Wisconsin,WI
46,18,Saturday,January,13,2007,REG,1,Michigan,,Big Ten,1,67,53,0,14,W,1,Mackey Arena,Indiana,IN
45,17,Wednesday,January,10,2007,REG,2,Indiana,,Big Ten,0,58,85,0,-27,L,1,Assembly Hall,Indiana,IN
44,16,Saturday,January,6,2007,REG,1,Penn State,,Big Ten,1,64,60,0,4,W,1,Mackey Arena,Indiana,IN
43,15,Wednesday,January,3,2007,REG,2,Minnesota,,Big Ten,0,59,65,0,-6,L,1,Williams Arena,Minnesota,MN
42,14,Saturday,December,30,2006,REG,1,Southeast Missouri State,,OVC,1,102,65,0,37,W,1,Mackey Arena,Indiana,IN
41,13,Thursday,December,28,2006,REG,2,Indiana State,,MVC,0,70,89,0,-19,L,1,Hulman Center,Indiana,IN
40,12,Friday,December,22,2006,REG,1,Texas A&M-Corpus Christi,,Southland,1,79,61,0,18,W,2,Mackey Arena,Indiana,IN
39,11,Tuesday,December,19,2006,REG,1,Wagner,,NEC,1,95,56,0,39,W,1,Mackey Arena,Indiana,IN
38,10,Saturday,December,16,2006,REG,2,Butler,18,Horizon,0,65,68,0,-3,L,1,Hinkle Fieldhouse,Indiana,IN
37,9,Saturday,December,9,2006,REG,1,Missouri,,Big 12,1,79,62,0,17,W,6,Mackey Arena,Indiana,IN
36,8,Tuesday,December,5,2006,REG,1,Loyola (IL),,Horizon,1,78,62,0,16,W,5,Mackey Arena,Indiana,IN
35,7,Saturday,December,2,2006,REG,1,Delaware State,,MEAC,1,62,40,0,22,W,4,Mackey Arena,Indiana,IN
34,6,Wednesday,November,29,2006,REG,1,Virginia,25,ACC,1,61,59,0,2,W,3,Mackey Arena,Indiana,IN
33,5,Wednesday,November,22,2006,REG,3,DePaul,,Big East,1,81,73,0,8,W,2,Lahaina Civic Center,Hawaii,HI
32,4,Tuesday,November,21,2006,REG,3,Oklahoma,,Big 12,1,74,71,0,3,W,1,Lahaina Civic Center,Hawaii,HI
31,3,Monday,November,20,2006,REG,3,Georgia Tech,19,ACC,0,61,79,0,-18,L,1,Lahaina Civic Center,Hawaii,HI
30,2,Friday,November,17,2006,REG,1,Western Carolina,,Southern,1,82,57,0,25,W,2,Mackey Arena,Indiana,IN
29,1,Monday,November,13,2006,REG,1,Northern Colorado,,Big Sky,1,90,58,0,32,W,1,Mackey Arena,Indiana,IN
28,28,Thursday,March,9,2006,CTOURN,3,Michigan State,,Big Ten,0,58,70,0,-12,L,5,Gainbridge Fieldhouse,Indiana,IN
27,27,Sunday,March,5,2006,REG,2,Ohio State,9,Big Ten,0,57,76,0,-19,L,4,Value City Arena,Ohio,OH
26,26,Wednesday,March,1,2006,REG,1,Indiana,,Big Ten,0,59,70,0,-11,L,3,Mackey Arena,Indiana,IN
25,25,Wednesday,February,22,2006,REG,2,Minnesota,,Big Ten,0,50,62,0,-12,L,2,Williams Arena,Minnesota,MN
24,24,Saturday,February,18,2006,REG,1,Penn State,,Big Ten,0,61,69,0,-8,L,1,Mackey Arena,Indiana,IN
23,23,Saturday,February,11,2006,REG,1,Michigan,22,Big Ten,1,84,70,0,14,W,1,Mackey Arena,Indiana,IN
22,22,Wednesday,February,8,2006,REG,2,Michigan State,12,Big Ten,0,52,77,0,-25,L,1,Breslin Student Events Center,Michigan,MI
21,21,Saturday,February,4,2006,REG,1,Wisconsin,,Big Ten,1,70,62,0,8,W,1,Mackey Arena,Indiana,IN
20,20,Wednesday,February,1,2006,REG,1,Iowa,23,Big Ten,0,68,77,0,-9,L,5,Mackey Arena,Indiana,IN
19,19,Saturday,January,28,2006,REG,2,Illinois,8,Big Ten,0,58,76,0,-18,L,4,State Farm Center,Illinois,IL
18,18,Wednesday,January,25,2006,REG,1,Northwestern,,Big Ten,0,76,78,1,-2,L,3,Mackey Arena,Indiana,IN
17,17,Saturday,January,21,2006,REG,2,Indiana,13,Big Ten,0,49,62,0,-13,L,2,Assembly Hall,Indiana,IN
16,16,Wednesday,January,18,2006,REG,2,Penn State,,Big Ten,0,54,74,0,-20,L,1,Bryce Jordan Center,Pennsylvania,PA
15,15,Saturday,January,14,2006,REG,1,Minnesota,,Big Ten,1,72,55,0,17,W,1,Mackey Arena,Indiana,IN
14,14,Wednesday,January,11,2006,REG,1,Ohio State,19,Big Ten,0,64,80,0,-16,L,4,Mackey Arena,Indiana,IN
13,13,Saturday,January,7,2006,REG,2,Michigan,,Big Ten,0,65,68,0,-3,L,3,Crisler Arena,Michigan,MI
12,12,Wednesday,January,4,2006,REG,2,Northwestern,,Big Ten,0,53,66,0,-13,L,2,Welsh-Ryan Arena,Illinois,IL
11,11,Friday,December,30,2005,REG,2,Memphis,4,CUSA,0,70,90,0,-20,L,1,FedExForum,Tennessee,TN
10,10,Wednesday,December,28,2005,REG,1,Tennessee-Martin,,OVC,1,62,54,0,8,W,3,Mackey Arena,Indiana,IN
9,9,Tuesday,December,20,2005,REG,1,Purdue-Fort Wayne,,Ind,1,79,69,0,10,W,2,Mackey Arena,Indiana,IN
8,8,Saturday,December,17,2005,REG,1,New Orleans,,Sun Belt,1,68,56,0,12,W,1,Mackey Arena,Indiana,IN
7,7,Sunday,December,11,2005,REG,2,Loyola (IL),,Horizon,0,65,80,0,-15,L,1,Joseph J. Gentile Center,Illinois,IL
6,6,Tuesday,December,6,2005,REG,1,Chicago State,,Mid-Cont,1,69,56,0,13,W,1,Mackey Arena,Indiana,IN
5,5,Saturday,December,3,2005,REG,2,Evansville,,MVC,0,69,75,0,-6,L,3,Roberts Stadium,Indiana,IN
4,4,Tuesday,November,29,2005,REG,2,Florida State,,ACC,0,57,97,0,-40,L,2,Tallahassee-Leon County Civic Center,Florida,FL
3,3,Saturday,November,26,2005,REG,3,Xavier,,A-10,0,55,74,0,-19,L,1,Gainbridge Fieldhouse,Indiana,IN
2,2,Tuesday,November,22,2005,REG,1,South Alabama,,Sun Belt,1,85,67,0,18,W,2,Mackey Arena,Indiana,IN
1,1,Saturday,November,19,2005,REG,1,Wofford,,Southern,1,82,75,0,7,W,1,Mackey Arena,Indiana,IN
